Training Start:Mon, 03 Jul 2023 12:02:08 +0000

Generative Model Training Start:Mon, 03 Jul 2023 12:02:09 +0000
Iter-[34000/80740]; loss: 9.241; kl:0.205; p_loss:0.004; rec:0.009; tc:-0.007; gamma:0.092;
Iter-[34200/80740]; loss: 8.812; kl:0.209; p_loss:0.005; rec:0.009; tc:0.834; gamma:0.092;
Iter-[34400/80740]; loss: 8.846; kl:0.184; p_loss:0.003; rec:0.009; tc:-0.015; gamma:0.093;
Iter-[34600/80740]; loss: 7.814; kl:0.164; p_loss:0.004; rec:0.008; tc:-0.008; gamma:0.094;
Iter-[34800/80740]; loss: 9.124; kl:0.196; p_loss:0.003; rec:0.009; tc:0.832; gamma:0.094;
Iter-[35000/80740]; loss: 8.969; kl:0.194; p_loss:0.004; rec:0.009; tc:-0.005; gamma:0.095;
Iter-[35200/80740]; loss: 8.650; kl:0.158; p_loss:0.005; rec:0.009; tc:-0.004; gamma:0.095;
Iter-[35400/80740]; loss: 8.332; kl:0.167; p_loss:0.003; rec:0.009; tc:0.832; gamma:0.096;
Iter-[35600/80740]; loss: 7.971; kl:0.158; p_loss:0.004; rec:0.008; tc:-0.002; gamma:0.096;
Iter-[35800/80740]; loss: 8.407; kl:0.160; p_loss:0.004; rec:0.009; tc:-0.001; gamma:0.097;
Iter-[36000/80740]; loss: 8.225; kl:0.199; p_loss:0.003; rec:0.008; tc:0.832; gamma:0.097;
Iter-[36200/80740]; loss: 8.656; kl:0.175; p_loss:0.004; rec:0.009; tc:-0.002; gamma:0.098;
Iter-[36400/80740]; loss: 8.165; kl:0.166; p_loss:0.003; rec:0.008; tc:-0.000; gamma:0.098;
Iter-[36600/80740]; loss: 8.940; kl:0.186; p_loss:0.004; rec:0.009; tc:0.832; gamma:0.099;
Iter-[36800/80740]; loss: 8.433; kl:0.180; p_loss:0.003; rec:0.009; tc:-0.002; gamma:0.100;
Iter-[37000/80740]; loss: 9.536; kl:0.181; p_loss:0.004; rec:0.010; tc:-0.002; gamma:0.100;
Iter-[37200/80740]; loss: 8.347; kl:0.180; p_loss:0.004; rec:0.009; tc:0.832; gamma:0.101;
Iter-[37400/80740]; loss: 7.500; kl:0.161; p_loss:0.004; rec:0.008; tc:-0.002; gamma:0.101;
Iter-[37600/80740]; loss: 8.257; kl:0.161; p_loss:0.004; rec:0.009; tc:-0.001; gamma:0.102;
Iter-[37800/80740]; loss: 9.158; kl:0.182; p_loss:0.005; rec:0.009; tc:0.832; gamma:0.102;
Iter-[38000/80740]; loss: 9.256; kl:0.157; p_loss:0.003; rec:0.009; tc:0.004; gamma:0.103;
Iter-[38200/80740]; loss: 8.802; kl:0.150; p_loss:0.004; rec:0.009; tc:0.010; gamma:0.103;
Iter-[38400/80740]; loss: 9.124; kl:0.178; p_loss:0.003; rec:0.009; tc:0.830; gamma:0.104;
Iter-[38600/80740]; loss: 9.028; kl:0.181; p_loss:0.003; rec:0.009; tc:0.003; gamma:0.104;
Iter-[38800/80740]; loss: 8.167; kl:0.167; p_loss:0.004; rec:0.008; tc:0.001; gamma:0.105;
Iter-[39000/80740]; loss: 8.429; kl:0.177; p_loss:0.003; rec:0.009; tc:0.832; gamma:0.105;
Iter-[39200/80740]; loss: 9.083; kl:0.161; p_loss:0.004; rec:0.009; tc:-0.005; gamma:0.106;
Iter-[39400/80740]; loss: 8.957; kl:0.159; p_loss:0.006; rec:0.009; tc:-0.003; gamma:0.107;
Iter-[39600/80740]; loss: 8.084; kl:0.149; p_loss:0.003; rec:0.008; tc:0.832; gamma:0.107;
Iter-[39800/80740]; loss: 7.755; kl:0.145; p_loss:0.003; rec:0.008; tc:-0.004; gamma:0.108;
Iter-[40000/80740]; loss: 8.943; kl:0.211; p_loss:0.003; rec:0.009; tc:-0.002; gamma:0.108;
GZSL Softmax:
U->T 65.34%  S->T 71.31%  H 68.20%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[40200/80740]; loss: 7.626; kl:0.174; p_loss:0.002; rec:0.008; tc:0.832; gamma:0.109;
GZSL Softmax:
U->T 63.36%  S->T 72.63%  H 67.68%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
GZSL Softmax:
U->T 62.16%  S->T 74.85%  H 67.91%  Best_H [71.31% 65.34% 68.20% | Iter-40100]
Iter-[40400/80740]; loss: 8.666; kl:0.152; p_loss:0.004; rec:0.009; tc:0.004; gamma:0.109;
GZSL Softmax:
